169,35.36 ,129.34 ,307,나사해변(나사리해수욕장)
170,35.36 ,126.41 ,125,모래미 해변
171,35.37 ,129.35 ,313,솔개해수욕장
172,37.80 ,128.92 ,172,강문 해수욕장
173,37.78 ,128.94 ,173,송정 해수욕장
174,37.77 ,128.95 ,174,안목 해수욕장
175,37.76 ,128.95 ,175,남항진 해수욕장
176,37.80 ,128.91 ,176,경포 해수욕장
177,37.81 ,128.90 ,177,사근진 해수욕장
178,37.82 ,128.89 ,178,순긋 해수욕장
179,37.91 ,128.82 ,179,주문진 해수욕장
180,35.57 ,129.46 ,311,주전몽돌해변
181,37.73 ,128.99 ,181,안인 해수욕장
182,37.69 ,129.04 ,182,정동진 해수욕장
183,37.70 ,129.02 ,183,등명 해수욕장
184,37.60 ,129.08 ,184,도직 해수욕장
185,37.64 ,129.04 ,185,옥계 해수욕장
186,37.63 ,129.05 ,186,금진 해수욕장
187,37.83 ,128.88 ,187,하평해변
188,37.85 ,128.87 ,188,사천 해수욕장
189,37.87 ,128.85 ,189,영진 해수욕장
190,37.86 ,128.85 ,190,연곡 해수욕장
191,35.60 ,126.48 ,98,상록해수욕장
192,35.63 ,129.44 ,313,강동몽돌해변
193,35.64 ,129.44 ,313,신명·정자해변
194,35.71 ,129.47 ,269,나아해변
195,37.48 ,129.16 ,195,추암 해수욕장
196,37.57 ,129.12 ,196,어달 해수욕장
197,37.58 ,129.11 ,197,대진 해수욕장
198,37.59 ,129.09 ,198,망상 해수욕장
199,37.59 ,129.10 ,199,송도 해수욕장
200,38.22 ,128.60 ,200,등대 해수욕장
201,38.19 ,128.61 ,201,속초 해수욕장
202,38.18 ,128.61 ,202,외옹치 해수욕장
203,37.47 ,129.17 ,203,삼척 해수욕장
204,37.46 ,129.18 ,204,작은후진 해수욕장
205,37.47 ,129.16 ,205,증산 해수욕장
206,37.43 ,129.19 ,206,오분해변
207,35.81 ,126.41 ,91,옥돌해수욕장
208,35.83 ,126.40 ,92,몽돌해수욕장/몽돌해변
209,35.89 ,129.51 ,279,신창 간이 해수욕장
210,36.02 ,129.50 ,269,흥환간이해수욕장
211,36.04 ,129.38 ,269,송도해변(포항)
212,37.40 ,129.21 ,212,상맹방 해수욕장
213,37.39 ,129.23 ,213,하맹방 해수욕장
214,37.39 ,129.23 ,214,맹방 해수욕장
215,37.39 ,129.24 ,215,덕산 해수욕장
216,37.36 ,129.25 ,216,부남해변
217,37.32 ,129.27 ,217,궁촌 해수욕장
218,37.32 ,129.27 ,218,원평  해수욕장
219,37.31 ,129.29 ,219,문암 해수욕장
220,37.29 ,129.30 ,220,용화 해수욕장
221,37.29 ,129.31 ,221,장호 해수욕장
222,38.45 ,128.47 ,222,거진1리 해수욕장
223,38.44 ,128.46 ,223,거진11리 해수욕장
224,38.50 ,128.42 ,224,대진1리 해수욕장
225,38.50 ,128.43 ,225,대진5리 해수욕장
226,38.48 ,128.44 ,226,화진포 해수욕장
227,38.49 ,128.43 ,227,초도리 해수욕장
228,38.42 ,128.46 ,228,반암리 해수욕장
229,38.51 ,128.42 ,229,마차진 해수욕장
230,38.54 ,128.41 ,230,명파 해수욕장
231,38.33 ,128.53 ,231,송지호 해수욕장
232,38.32 ,128.53 ,232,봉수대 해수욕장
233,38.37 ,128.51 ,233,가진리  해수욕장
234,38.36 ,128.51 ,234,공현1리 해수욕장
235,38.35 ,128.51 ,235,공현2리 해수욕장
236,38.32 ,128.54 ,236,삼포 해수욕장
237,38.32 ,128.53 ,237,삼포2리 해수욕장
238,38.30 ,128.55 ,238,백도 해수욕장
239,38.30 ,128.55 ,239,문암2리해변
240,38.30 ,128.55 ,240,자작도 해수욕장
241,38.26 ,128.56 ,241,천진 해수욕장
242,38.27 ,128.56 ,242,청간 해수욕장
243,38.28 ,128.55 ,243,아야진 해수욕장
244,38.29 ,128.55 ,244,교암리 해수욕장
245,38.25 ,128.56 ,245,봉포 해수욕장
246,38.06 ,128.68 ,246,동호 해수욕장
247,38.09 ,128.66 ,247,오산 해수욕장
248,37.99 ,128.74 ,248,잔교리 해수욕장
249,38.02 ,128.73 ,249,하조대 해수욕장
250,37.97 ,128.76 ,250,죽도 해수욕장
251,37.95 ,128.78 ,251,갯마을 해수욕장
252,37.97 ,128.76 ,252,인구 해수욕장
253,37.98 ,128.76 ,253,동산 해수욕장
254,37.98 ,128.76 ,254,동산포구 해수욕장
255,37.96 ,128.76 ,255,광진리 해수욕장
256,37.93 ,128.79 ,256,원포리 해수욕장
257,37.92 ,128.80 ,257,지경 해수욕장
258,37.95 ,128.77 ,258,남애1리 해수욕장
259,37.95 ,128.78 ,259,남애3리 해수욕장
260,38.15 ,128.61 ,260,물치 해수욕장
261,38.14 ,128.62 ,261,정암 해수욕장
262,38.12 ,128.63 ,262,낙산 해수욕장
263,38.13 ,128.62 ,263,설악 해수욕장
264,37.84 ,128.87 ,264,사천진 해수욕장
265,38.24 ,128.57 ,265,켄싱턴리조트 해수욕장
266,38.34 ,128.52 ,266,송지호오토캠핑 해수욕장
267,38.01 ,128.73 ,267,기사문 해수욕장
268,35.08 ,129.02 ,268,송도 해수욕장
269,36.00 ,129.57 ,269,구룡포 해수욕장
270,35.99 ,129.44 ,270,도구 해수욕장
271,36.05 ,129.38 ,271,영일대 해수욕장
272,36.13 ,129.40 ,272,칠포 해수욕장
273,36.20 ,129.37 ,273,월포 해수욕장
274,36.25 ,129.37 ,274,화진 해수욕장
275,36.08 ,126.64 ,43,갈목해변
276,36.12 ,129.42 ,272,용한1리해수욕장
277,35.79 ,129.49 ,277,전촌솔밭해변
278,35.78 ,129.49 ,278,나정고운모래해변
279,35.82 ,129.51 ,279,오류고아라해변
280,35.74 ,129.48 ,280,봉길대왕암해변
281,35.66 ,129.45 ,281,관성솔밭해변
282,36.33 ,129.38 ,282,남호 해수욕장
283,36.44 ,129.43 ,283,오보 해수욕장
284,36.28 ,129.38 ,284,장사 해수욕장
285,36.48 ,129.43 ,285,경정 해수욕장
286,36.56 ,129.43 ,286,대진 해수욕장
287,36.39 ,129.41 ,287,하저리 해수욕장
288,36.60 ,129.41 ,288,고래불 해수욕장
289,37.13 ,129.37 ,289,나곡 해수욕장
290,36.97 ,129.41 ,290,망양정 해수욕장
291,36.84 ,129.43 ,291,기성망양 해수욕장
292,36.75 ,129.47 ,292,구산 해수욕장
293,37.04 ,129.41 ,293,봉평 해수욕장
294,37.07 ,129.41 ,294,후정 해수욕장
295,36.13 ,126.58 ,13,비인해수욕장
296,36.14 ,126.56 ,43,띠섬목해변
297,36.16 ,129.40 ,272,오도1리해수욕장
298,36.23 ,129.38 ,274,조사리간이해수욕장
299,36.36 ,129.38 ,274,오포해수욕장
300,36.37 ,126.41 ,82,사창해수욕장
301,36.43 ,126.36 ,61,운여해변
302,36.52 ,126.33 ,57,두에기해변
303,36.57 ,129.42 ,269,덕천해수욕장
304,35.16 ,129.16 ,304,해운대 해수욕장
305,35.18 ,129.20 ,305,송정  해수욕장
306,35.15 ,129.12 ,306,광안리  해수욕장
307,35.32 ,129.26 ,307,임랑 해수욕장
308,35.05 ,128.97 ,308,다대포  해수욕장
309,35.27 ,129.23 ,309,일광 해수욕장
310,36.59 ,129.41 ,269,영리해수욕장
311,35.50 ,129.43 ,311,일산 해수욕장
312,36.70 ,126.24 ,66,원안해수욕장
313,35.38 ,129.35 ,313,진하 해수욕장
314,34.72 ,128.46 ,314,비진도 해수욕장
315,34.91 ,128.71 ,315,덕포 해수욕장
316,34.81 ,128.71 ,316,와현모래숲해변
317,34.96 ,128.72 ,317,흥남 해수욕장
318,36.87 ,126.28 ,74,음포해수욕장
319,35.02 ,128.68 ,319,황포 해수욕장
320,35.01 ,128.70 ,320,농소몽돌 해수욕장
321,34.81 ,128.69 ,321,구조라 해수욕장
322,34.77 ,128.64 ,322,학동흑진주몽돌해변
323,34.73 ,128.60 ,323,명사 해수욕장
324,34.74 ,128.65 ,324,함목 해수욕장
325,34.71 ,128.63 ,325,여차몽돌 해수욕장
326,34.71,128.03,326,설리 해수욕장
327,34.72 ,127.99 ,327,상주은모래비치
328,36.88 ,126.19 ,74,먼동해수욕장
329,34.72 ,128.02 ,329,송정솔바람해변
330,34.77 ,127.91 ,330,두곡.월포 해수욕장
331,34.74 ,127.86 ,331,사촌 해수욕장
332,34.93 ,128.10 ,332,남일대 해수욕장
333,34.64 ,128.24 ,333,덕동 해수욕장
334,34.82 ,128.44 ,334,수륙 해수욕장
335,36.92 ,126.29 ,77,사목해수욕장
336,36.99 ,126.33 ,42,황금산몽돌해변
337,34.76 ,128.51 ,337,봉암몽돌 해수욕장
338,37.06 ,129.43 ,294,하트해변
339,37.16 ,129.35 ,35,월천해변
340,35.01 ,128.65 ,340,물안(옆개) 해수욕장
341,34.78 ,128.58 ,341,덕원 해수욕장
342,33.33 ,126.84 ,342,표선해비치
343,33.24 ,126.32 ,343,화순금모래 해수욕장
344,33.43 ,126.92 ,344,신양섭지코지 해수욕장
345,33.45 ,126.30 ,345,곽지과물 해수욕장
346,33.39 ,126.24 ,346,협재 해수욕장
347,33.24 ,126.41 ,347,중문ㆍ색달 해수욕장
348,33.50 ,126.45 ,348,이호테우 해수욕장
349,33.53 ,126.59 ,349,삼양검은모래 해수욕장
350,37.22 ,129.34 ,221,임원해변
351,37.24 ,126.47 ,30,노가리해수욕장
352,33.54 ,126.67 ,352,함덕서우봉 해수욕장
353,33.51 ,126.96 ,353,하고수동 해수욕장
354,33.56 ,126.76 ,354,김녕성세기 해수욕장
355,33.39 ,126.24 ,355,금능으뜸원 해수욕장
356,37.24 ,126.53 ,30,낭하리해변
357,33.51 ,126.90 ,357,하도 해수욕장
358,37.24 ,126.47 ,30,용담리해변
359,37.27 ,129.33 ,221,신남해변
360,34.85 ,128.21 ,360,사량 대항 해수욕장
361,37.27 ,126.10 ,7,덕적도 능동자갈마당
362,37.28 ,126.55 ,13,구봉솔숲해수욕장
363,36.68 ,129.44 ,363,후포 해수욕장
364,37.77 ,124.72 ,364,소청예동 해수욕장
365,37.95 ,124.71 ,365,사곶 해수욕장
366,37.67 ,125.70 ,366,구리동 해수욕장
367,37.40 ,126.40 ,367,실미 해수욕장
368,34.53 ,126.06 ,368,황성금리 해수욕장
369,34.80 ,126.07 ,369,추포 해수욕장
370,34.58 ,125.97 ,370,신도 해수욕장
371,34.69 ,125.43 ,371,배낭기미 해수욕장
372,34.69 ,125.19 ,372,홍도 해수욕장
373,34.60 ,127.54 ,373,낭도 해수욕장
374,34.22 ,127.24 ,374,정강 해수욕장
375,34.24 ,127.24 ,375,대풍 해수욕장
376,35.45 ,126.43 ,376,구시포 해수욕장
377,33.25 ,126.62 ,377,하효쇠소깍 해수욕장
378,33.50 ,126.91 ,378,종달 해수욕장
379,33.50 ,126.94 ,379,서빈백사 해수욕장
380,33.95 ,126.33 ,380,추자모진이 해수욕장
381,36.33 ,126.36 ,381,밤섬 해수욕장
382,37.28 ,126.47 ,13,몽돌해수욕장 (옹진군)
383,37.29 ,126.58 ,30,방아머리해수욕장
384,36.35 ,126.35 ,384,당너머 해수욕장
385,36.30 ,126.27 ,385,호도 해수욕장
386,37.31 ,129.29 ,219,초곡해수욕장
387,36.59 ,126.29 ,387,곰섬 해수욕장
388,36.81 ,126.15 ,388,백리포(방주골) 해수욕장
389,34.9,128.57,389,사곡 해수욕장
390,35.03,128.69,390,구영 해수욕장
391,34.81,128.67,391,망치해변 해수욕장
392,34.98,128.6,392,옥계 해수욕장
393,37.41 ,129.21 ,213,한재밑해변
394,37.42 ,126.43 ,367,거잠포해변
395,37.43 ,126.42 ,1,용유도 마시안해변
396,37.44 ,126.38 ,1,선녀바위해수욕장
397,37.44 ,126.40 ,1,용유도해변
398,37.04 ,126.53 ,398,왜목마을 해수욕장
399,37.51 ,129.13 ,195,감추해변
400,37.52 ,129.12 ,195,한섬해변&한섬감성바닷길
401,37.53 ,129.12 ,195,고불개해변
402,37.53 ,129.12 ,195,하평해변(동해)
403,37.74 ,128.98 ,181,염전해변
404,37.99 ,128.75 ,404,북분리 해수욕장
405,37.82 ,128.89 ,178,순포해변
406,37.84 ,124.70 ,23,대청도 농여해변
407,37.91 ,128.83 ,179,소돌해수욕장
408,36.91 ,126.34 ,408,고파도 해수욕장
409,35.10 ,128.50 ,409,광암 해수욕장
410,37.91 ,128.82 ,179,청시행비치
411,34.74 ,127.67 ,411,웅천 해수욕장
412,37.03 ,128.72 ,412,중광정해변
413,38.48 ,128.44 ,413,화진포콘도 해수욕장
414,34.05 ,127.29 ,414,서도 해수욕장
415,34.96 ,126.14 ,415,설레미 해수욕장
416,34.99 ,126.13 ,416,짱뚱어 해수욕장
417,37.91 ,128.82 ,179,향호해수욕장
418,37.92 ,124.70 ,365,백령도 콩돌해변
419,37.96 ,128.77 ,258,애견전용해수욕장 멍비치
420,38.01 ,128.73 ,267,38해변
421,38.20 ,128.59 ,201,청호해변
422,37.47 ,130.86 ,,통구미몽돌해변
423,37.51 ,130.91 ,,내수전몽돌해변
424,37.54 ,130.88 ,,"죽암 몽돌해안 (울릉도, 독도 국가지질공원)"
